Target_alpha_tg,Target_beta_impactstrength,Target_gamma_elongation
80.0,110,1.4
90.0,100,1.1
60.0,120,2.0
20.0,300,3.0
86.0,110,1.4
100.0,100,1.1
74.0,120,2.0
60.0,86,2.1
74.0,90,4.0
55.0,115,3.1
66.8,121,2.2
87.2,100,2.2
